Ty Lawson,0.975609756,2.761904762,17.99,0.743902439,2.679245283,19.43,0.890243902,2.745098039,17.96,0.756097561,2.706896552,19.02,19.09
Andre Miller,0.987804878,2.859649123,17.89,0.804878049,2.492957746,14.84,1,2.816,15.69,0.707317073,3.222222222,13.9,13.93
Kris Humphries,0.902439024,0.809917355,17.89,0.756097561,0.756302521,17.98,0.792682927,0.563492063,13.67,0.841463415,1.040816327,18.28,15.76
Danny Granger,0.963414634,0.981818182,17.89,0.756097561,1,18.68,0.06097561,0.75,4.02,0.5,0.889908257,10.9,8.65
David Lee,0.890243902,1.371681416,17.86,0.695121951,1.081818182,19.81,0.963414634,1.344827586,19.23,0.841463415,0.962962963,19.21,18.73
Serge Ibaka,1,0.311111111,17.7,0.804878049,0.352459016,18.98,0.975609756,0.347107438,19.41,0.987804878,0.690721649,19.66,16.63
Amir Johnson,0.87804878,1.177083333,17.67,0.780487805,0.842105263,14.4,0.987804878,1.047619048,17.33,0.93902439,0.933333333,15.44,15.14
JaVale McGee,0.963414634,0.371900826,17.42,0.743902439,0.358974359,19.9,0.963414634,0.264,20.78,0.06097561,0.248484848,10.15,14.47
Andre Iguodala,0.817073171,3.063157895,17.3,0.756097561,2.948979592,17.59,0.975609756,2.103174603,15.27,0.768292683,2.622807018,13.71,12.71
Devin Harris,0.865853659,2.426229508,17.22,0.768292683,2.587719298,16.08,0.707317073,2.234234234,14.69,0.487804878,3.018348624,14.66,15.16
DeJuan Blair,0.987804878,0.676470588,17.2,0.780487805,0.842519685,17.61,0.743902439,0.919354839,14.66,0.951219512,0.907692308,17.33,6.84
Shawn Marion,0.975609756,0.849557522,17.09,0.768292683,1.345794393,15.05,0.817073171,1.582524272,18.02,0.926829268,1.313131313,13.78,11.08
Marc Gasol,0.987804878,1.368,16.88,0.792682927,1.69,18.41,0.975609756,2.018867925,19.57,0.719512195,1.93814433,18.27,21.75
Andrew Bogut,0.792682927,1.052631579,16.77,0.146341463,1.294117647,14.92,0.390243902,1.905172414,13.81,0.817073171,1.158227848,17.11,15.61
Patrick Patterson,0.634146341,1.32183908,16.77,0.780487805,1.077922078,11.58,0.865853659,1.324675325,15.23,0.792682927,1.204081633,14.67,15.29
Raymond Felton,0.914634146,2.82300885,16.68,0.731707317,2.296296296,13.46,0.829268293,2.396226415,15.22,0.792682927,2.821428571,12.9,9.29
Marcus Thornton,0.890243902,1.457831325,16.52,0.62195122,1.17721519,17.43,0.87804878,1.333333333,16.32,0.87804878,1.148148148,12,15.07
Kyle Lowry,0.914634146,3.17,16.51,0.573170732,2.384,18.89,0.829268293,2.773109244,17.51,0.963414634,3.010416667,20.2,19.66
Andrea Bargnani,0.804878049,0.778947368,16.5,0.37804878,0.88,18,0.426829268,0.704081633,11.27,0.512195122,0.775280899,14.53,16.54
Joe Johnson,0.87804878,2.325301205,16.46,0.731707317,2,18.5,0.87804878,2.06097561,14.14,0.963414634,1.807228916,15.54,14.03
J.R. Smith,0.963414634,1.755813953,16.43,0.426829268,1.829268293,15.27,0.975609756,1.623376623,17.67,0.902439024,2.0375,14,13.87
Tyler Hansbrough ,0.853658537,0.544444444,16.43,0.804878049,0.462365591,14.71,0.987804878,0.462184874,15.35,0.780487805,0.362318841,14.2,12.56
James Harden,1,1.663157895,16.42,0.756097561,1.677966102,21.13,0.951219512,1.545454545,23,0.890243902,1.683333333,23.51,26.79
Jose Calderon,0.829268293,4.094339623,16.38,0.646341463,4.520833333,16.73,0.890243902,4.104166667,18.8,0.987804878,3.658536585,15.25,11.41
Gerald Wallace,0.865853659,0.390909091,16.28,0.707317073,1.481818182,15.98,0.841463415,1.643939394,11.58,0.707317073,1.470899471,10.02,13.76
Chuck Hayes,0.902439024,2.339622642,16.2,0.658536585,1.540880503,8.89,0.902439024,2.541666667,10.71,0.743902439,1.056962025,10.04,9.52
Josh McRoberts,0.87804878,1.617647059,16.08,0.609756098,1.638888889,10.89,0.817073171,2.142857143,12.69,0.951219512,4.037037037,13.82,10.22
Tiago Splitter,0.731707317,0.815533981,16.02,0.719512195,0.748344371,20.51,0.987804878,1.302752294,18.72,0.719512195,1.1953125,16.58,18.87
Brandon Bass,0.926829268,0.583333333,15.99,0.719512195,0.848101266,14.21,0.987804878,1.051020408,12.38,1,0.85,15.01,16.56
Nazr Mohammed,0.914634146,0.327731092,15.98,0.768292683,0.537815126,11.02,0.768292683,1.083333333,10.84,0.975609756,0.53968254,10.18,6.68
Drew Gooden,0.426829268,1.02173913,15.97,0.682926829,1.321100917,18.88,0.195121951,0.666666667,7.7,0.268292683,0.879120879,18.44,11.79
D.J. Augustin,1,3.213483146,15.97,0.585365854,2.791304348,14.17,0.926829268,2.5,11.04,0.865853659,2.49,16.22,14.62
Roy Hibbert,0.987804878,0.897058824,15.96,0.792682927,0.842519685,19.35,0.963414634,0.702290076,17.32,0.987804878,0.616541353,13.54,15.38
Jason Terry,1,2,15.93,0.768292683,1.776699029,15.8,0.963414634,1.95049505,12.81,0.426829268,2.071428571,7.48,11.49
Mike Conley,0.987804878,2.99,15.9,0.756097561,3.24742268,16.79,0.975609756,2.568807339,18.38,0.890243902,2.941860465,20.07,19.08
John Wall,0.841463415,2.196969697,15.85,0.804878049,2.087591241,17.77,0.597560976,2.383928571,20.91,1,2.435897436,19.61,20.29
Ed Davis ,0.792682927,0.827956989,15.83,0.804878049,0.893939394,14.22,0.987804878,1,17.82,0.768292683,0.673267327,15.99,20.41
Chris Kaman,0.390243902,0.791304348,15.72,0.573170732,0.783783784,15.42,0.804878049,0.496062992,16.32,0.475609756,0.780821918,17.06,16.81
Beno Udrih,0.963414634,2.742268041,15.7,0.719512195,2.94017094,13.16,0.804878049,2.793103448,14.28,0.5,2.466165414,12.73,15.66
J.J. Hickson,0.975609756,0.527559055,15.67,0.658536585,0.64516129,14.91,0.975609756,0.606060606,19.71,0.841463415,0.748031496,16.27,14.57
Jared Dudley,1,1.4,15.67,0.792682927,1.5625,15.48,0.963414634,2,14.89,0.902439024,1.842696629,8.91,12.59
Darren Collison,0.963414634,2.072580645,15.67,0.731707317,2.52173913,13.62,0.987804878,2.396694215,16.37,0.975609756,2.25,16.21,17.63
Brandon Jennings,0.768292683,2.091836735,15.66,0.804878049,2.5,18.46,0.975609756,2.567010309,16.2,0.975609756,2.843137255,15.67,19.8
Wesley Matthews,1,1.195876289,15.6,0.804878049,1.549295775,14.12,0.841463415,1.591397849,14.1,1,1.789473684,15.7,16.2
Luol Deng,1,1.47826087,15.58,0.658536585,1.629213483,14.13,0.914634146,1.538461538,15.12,0.768292683,1.617977528,15.22,15.95
Michael Beasley,0.890243902,0.805309735,15.54,0.573170732,0.561983471,13.11,0.914634146,0.768656716,10.91,0.670731707,0.717948718,16.8,9.36
Nene Hilario,0.914634146,1.111111111,20.49,0.475609756,0.832214765,18.65,0.743902439,1.260869565,17.07,0.646341463,1.318181818,16.67,14.39
Tony Parker,0.951219512,2.538461538,20.44,0.731707317,2.961538462,22.04,0.804878049,2.923076923,23.1,0.829268293,2.590909091,19,16.29
Al Jefferson,1,1.384615385,20.2,0.743902439,2.2,22.88,0.951219512,1.615384615,20.99,0.890243902,1.235294118,22.75,19.95
Paul Millsap,0.926829268,1.315789474,19.83,0.780487805,1.277777778,21.85,0.951219512,1.444444444,19.89,0.902439024,1.24,19.83,20.34
Paul Pierce,0.975609756,1.571428571,19.76,0.743902439,1.607142857,19.69,0.93902439,1.714285714,19.14,0.914634146,1.2,16.81,15.55
Stephen Curry,0.902439024,1.870967742,19.46,0.317073171,2.12,21.23,0.951219512,2.225806452,21.34,0.951219512,2.236842105,24.13,28.11
Chris Bosh,0.93902439,1.055555556,19.44,0.695121951,0.857142857,18.94,0.902439024,1,20.08,0.963414634,0.6875,19.11,19.89
Brook Lopez,1,0.761904762,19.33,0.06097561,1,21.96,0.902439024,0.5,24.81,0.207317073,0.5625,25.5,21.7
Josh Smith,0.93902439,1.269230769,19.31,0.804878049,1.56,21.14,0.926829268,1.4,17.82,0.93902439,1.269230769,14.1,14.94
Ryan Anderson,0.780487805,1,19.09,0.743902439,1,21.23,0.987804878,1,18.17,0.268292683,0.888888889,18.89,16.59
Chris Andersen,0.548780488,0.666666667,19.03,0.390243902,0.4,18.97,0.512195122,0.666666667,17.44,0.87804878,0.428571429,18.56,16.07
Ramon Sessions,0.987804878,2.363636364,19.01,0.780487805,2.504132231,16.79,0.743902439,2.235294118,17.8,1.012195122,2.300970874,16.04,9.82
Louis Williams,0.914634146,2.428571429,18.93,0.780487805,3.181818182,20.22,0.475609756,1.894736842,15.98,0.731707317,2.333333333,14.24,19.62
Carlos Boozer,0.719512195,1,18.9,0.804878049,1.117647059,19.79,0.963414634,1.045454545,17.17,0.926829268,0.8,14.48,16.79
Joakim Noah,0.585365854,1.157894737,18.83,0.780487805,1.785714286,19.59,0.804878049,1.481481481,18.16,0.975609756,2.25,20.06,15.86
Monta Ellis,0.975609756,1.75,18.69,0.707317073,1.952380952,17.53,1,1.935483871,16.3,1,1.78125,16.83,17.26
Elton Brand,0.987804878,1.25,18.57,0.731707317,1.454545455,18.07,0.87804878,1.25,15.19,0.890243902,1.25,14.04,9.78
Eric Gordon,0.682926829,1.62962963,18.56,0.109756098,1.259259259,19.23,0.512195122,1.178571429,15.43,0.780487805,1.571428571,14.92,12.42
Thaddeus Young,1,0.833333333,18.46,0.768292683,1.333333333,18.93,0.926829268,1.333333333,18.27,0.963414634,1.095238095,16.64,15.69
Rodney Stuckey,0.853658537,2.363636364,18.46,0.670731707,2,17.62,0.926829268,2,13,0.890243902,1.235294118,14.04,16.34
Tyson Chandler,0.902439024,0.333333333,18.45,0.756097561,0.5625,18.66,0.804878049,0.692307692,18.88,0.670731707,0.846153846,16.48,19.83
Luis Scola,0.902439024,1.25,18.43,0.804878049,0.913043478,15.5,1,1.466666667,16.8,1,0.769230769,13.42,16.72
Tony Allen,0.87804878,1.166666667,18.4,0.707317073,0.875,15.7,0.963414634,1,13.26,0.670731707,1.0625,15.64,14.7
DeMar DeRozan,1,1,14.52,0.768292683,1,12.87,1,1.388888889,14.81,0.963414634,1.818181818,18.42,16.38
DeAndre Jordan,0.975609756,0.384615385,14.81,0.804878049,0.272727273,16.39,1,0.25,17.21,1,0.6,18.19,20.82
